requirement	clause	pages	source_rows	equations	tests	proofs	status	notes
operation:Recip	4.10.8	40	definition / behavior family	p3109-omega-arithmetic-036,p3109-scalar-Recip,p3109-block-Recip,p3109-scaled-Recip	scalar	see proofs/obligations.tsv	executable on valid internal rational domains	
operation:RSqrt	4.10.8	40	definition / behavior family	p3109-scalar-RSqrt,p3109-block-RSqrt,p3109-scaled-RSqrt,p3109-omega-elementary-080,p3109-omega-elementary-081,p3109-omega-elementary-082,p3109-omega-elementary-083,p3109-omega-elementary-084	symbolic	see proofs/obligations.tsv	symbolic with exact cases	
operation:Exp	4.10.9	41	definition / behavior family	p3109-scalar-Exp,p3109-block-Exp,p3109-scaled-Exp,p3109-omega-elementary-003,p3109-omega-elementary-004,p3109-omega-elementary-037,p3109-omega-elementary-038	symbolic	see proofs/obligations.tsv	symbolic with exact cases	
operation:Exp2	4.10.9	41	definition / behavior family	p3109-scalar-Exp2,p3109-block-Exp2,p3109-scaled-Exp2,p3109-omega-elementary-005,p3109-omega-elementary-006,p3109-omega-elementary-039,p3109-omega-elementary-040	symbolic	see proofs/obligations.tsv	symbolic with exact cases	
operation:Log	4.10.9	41	definition / behavior family	p3109-scalar-Log,p3109-block-Log,p3109-scaled-Log,p3109-omega-elementary-007,p3109-omega-elementary-008,p3109-omega-elementary-041,p3109-omega-elementary-042,p3109-omega-elementary-070,p3109-omega-elementary-072	symbolic	see proofs/obligations.tsv	symbolic with exact cases	
operation:Log2	4.10.9	41	definition / behavior family	p3109-scalar-Log2,p3109-block-Log2,p3109-scaled-Log2,p3109-omega-elementary-009,p3109-omega-elementary-010,p3109-omega-elementary-043,p3109-omega-elementary-044,p3109-omega-elementary-071,p3109-omega-elementary-073	symbolic	see proofs/obligations.tsv	symbolic with exact cases	
operation:LogOnePlus	4.10.9	41	definition / behavior family	p3109-scalar-LogOnePlus,p3109-block-LogOnePlus,p3109-scaled-LogOnePlus,p3109-omega-elementary-085	symbolic	see proofs/obligations.tsv	symbolic with exact cases	
operation:ExpMinusOne	4.10.9	41	definition / behavior family	p3109-scalar-ExpMinusOne,p3109-block-ExpMinusOne,p3109-scaled-ExpMinusOne,p3109-omega-elementary-086	symbolic	see proofs/obligations.tsv	symbolic with exact cases	
operation:Sin	4.10.10	42	definition / behavior family	p3109-scalar-Sin,p3109-block-Sin,p3109-scaled-Sin,p3109-omega-elementary-011,p3109-omega-elementary-012,p3109-omega-elementary-045,p3109-omega-elementary-046	symbolic	see proofs/obligations.tsv	symbolic with exact cases	
operation:Cos	4.10.10	42	definition / behavior family	p3109-scalar-Cos,p3109-block-Cos,p3109-scaled-Cos,p3109-omega-elementary-013,p3109-omega-elementary-014,p3109-omega-elementary-047,p3109-omega-elementary-048	symbolic	see proofs/obligations.tsv	symbolic with exact cases	
operation:Tan	4.10.10	42	definition / behavior family	p3109-scalar-Tan,p3109-block-Tan,p3109-scaled-Tan,p3109-omega-elementary-015,p3109-omega-elementary-016,p3109-omega-elementary-049,p3109-omega-elementary-050,p3109-omega-elementary-094,p3109-omega-elementary-095	symbolic	see proofs/obligations.tsv	symbolic with exact cases	
operation:ArcSin	4.10.10	42	definition / behavior family	p3109-scalar-ArcSin,p3109-block-ArcSin,p3109-scaled-ArcSin,p3109-omega-elementary-017,p3109-omega-elementary-018,p3109-omega-elementary-051,p3109-omega-elementary-052,p3109-omega-elementary-074	symbolic	see proofs/obligations.tsv	symbolic with exact cases	
operation:ArcCos	4.10.10	42	definition / behavior family	p3109-scalar-ArcCos,p3109-block-ArcCos,p3109-scaled-ArcCos,p3109-omega-elementary-019,p3109-omega-elementary-020,p3109-omega-elementary-053,p3109-omega-elementary-054,p3109-omega-elementary-075	symbolic	see proofs/obligations.tsv	symbolic with exact cases	
operation:ArcTan	4.10.10	42	definition / behavior family	p3109-scalar-ArcTan,p3109-block-ArcTan,p3109-scaled-ArcTan,p3109-omega-elementary-021,p3109-omega-elementary-022,p3109-omega-elementary-055,p3109-omega-elementary-056	symbolic	see proofs/obligations.tsv	symbolic with exact cases	
operation:Sinh	4.10.11	43	definition / behavior family	p3109-scalar-Sinh,p3109-block-Sinh,p3109-scaled-Sinh,p3109-omega-elementary-023,p3109-omega-elementary-024,p3109-omega-elementary-057,p3109-omega-elementary-058	symbolic	see proofs/obligations.tsv	symbolic with exact cases	
operation:Cosh	4.10.11	43	definition / behavior family	p3109-scalar-Cosh,p3109-block-Cosh,p3109-scaled-Cosh,p3109-omega-elementary-025,p3109-omega-elementary-026,p3109-omega-elementary-059,p3109-omega-elementary-060	symbolic	see proofs/obligations.tsv	symbolic with exact cases	
operation:Tanh	4.10.11	43	definition / behavior family	p3109-scalar-Tanh,p3109-block-Tanh,p3109-scaled-Tanh,p3109-omega-elementary-027,p3109-omega-elementary-028,p3109-omega-elementary-061,p3109-omega-elementary-062	symbolic	see proofs/obligations.tsv	symbolic with exact cases	
operation:ArcSinh	4.10.11	43	definition / behavior family	p3109-scalar-ArcSinh,p3109-block-ArcSinh,p3109-scaled-ArcSinh,p3109-omega-elementary-029,p3109-omega-elementary-030,p3109-omega-elementary-063,p3109-omega-elementary-064	symbolic	see proofs/obligations.tsv	symbolic with exact cases	
operation:ArcCosh	4.10.11	43	definition / behavior family	p3109-scalar-ArcCosh,p3109-block-ArcCosh,p3109-scaled-ArcCosh,p3109-omega-elementary-031,p3109-omega-elementary-032,p3109-omega-elementary-065,p3109-omega-elementary-066,p3109-omega-elementary-077	symbolic	see proofs/obligations.tsv	symbolic with exact cases	
operation:ArcTanh	4.10.11	43	definition / behavior family	p3109-scalar-ArcTanh,p3109-block-ArcTanh,p3109-scaled-ArcTanh,p3109-omega-elementary-033,p3109-omega-elementary-034,p3109-omega-elementary-067,p3109-omega-elementary-068,p3109-omega-elementary-076,p3109-omega-elementary-078,p3109-omega-elementary-079	symbolic	see proofs/obligations.tsv	symbolic with exact cases	
operation:SinPi	4.10.12	44	definition / behavior family	p3109-scalar-SinPi,p3109-block-SinPi,p3109-scaled-SinPi,p3109-omega-elementary-088	symbolic	see proofs/obligations.tsv	symbolic with exact cases	
operation:CosPi	4.10.12	44	definition / behavior family	p3109-scalar-CosPi,p3109-block-CosPi,p3109-scaled-CosPi,p3109-omega-elementary-089	symbolic	see proofs/obligations.tsv	symbolic with exact cases	
operation:TanPi	4.10.12	44	definition / behavior family	p3109-scalar-TanPi,p3109-block-TanPi,p3109-scaled-TanPi,p3109-omega-elementary-090	symbolic	see proofs/obligations.tsv	symbolic with exact cases	
operation:ArcSinPi	4.10.12	44	definition / behavior family	p3109-scalar-ArcSinPi,p3109-block-ArcSinPi,p3109-scaled-ArcSinPi,p3109-omega-elementary-091	symbolic	see proofs/obligations.tsv	symbolic with exact cases	
operation:ArcCosPi	4.10.12	44	definition / behavior family	p3109-scalar-ArcCosPi,p3109-block-ArcCosPi,p3109-scaled-ArcCosPi,p3109-omega-elementary-092	symbolic	see proofs/obligations.tsv	symbolic with exact cases	
operation:ArcTanPi	4.10.12	44	definition / behavior family	p3109-scalar-ArcTanPi,p3109-block-ArcTanPi,p3109-scaled-ArcTanPi,p3109-omega-elementary-093	symbolic	see proofs/obligations.tsv	symbolic with exact cases	
operation:Softplus	4.10.13	45	definition / behavior family	p3109-scalar-Softplus,p3109-block-Softplus,p3109-scaled-Softplus,p3109-omega-elementary-087	symbolic	see proofs/obligations.tsv	symbolic with exact cases	
operation:Hypot	4.10.14	46	definition / behavior family	p3109-scalar-Hypot,p3109-block-Hypot,p3109-scaled-Hypot,p3109-omega-elementary-138,p3109-omega-elementary-139,p3109-omega-elementary-140,p3109-omega-elementary-141,p3109-omega-elementary-142	symbolic	see proofs/obligations.tsv	symbolic with exact cases	
operation:ArcTan2	4.10.15	47	definition / behavior family	p3109-scalar-ArcTan2,p3109-block-ArcTan2,p3109-scaled-ArcTan2,p3109-omega-elementary-143,p3109-omega-elementary-144,p3109-omega-elementary-145,p3109-omega-elementary-146,p3109-omega-elementary-147,p3109-omega-elementary-148,p3109-omega-elementary-149,p3109-omega-elementary-150,p3109-omega-elementary-151,p3109-omega-elementary-152,p3109-omega-elementary-153,p3109-omega-elementary-154,p3109-omega-elementary-155,p3109-omega-elementary-156,p3109-omega-elementary-157,p3109-omega-elementary-158	symbolic	see proofs/obligations.tsv	symbolic with exact cases	
operation:ArcTan2Pi	4.10.16	48	definition / behavior family	p3109-scalar-ArcTan2Pi,p3109-block-ArcTan2Pi,p3109-scaled-ArcTan2Pi,p3109-omega-elementary-159	symbolic	see proofs/obligations.tsv	symbolic with exact cases	
operation:Minimum	4.11.1	49	definition / behavior family	p3109-omega-extrema-001,p3109-omega-extrema-002,p3109-omega-extrema-003,p3109-omega-extrema-004,p3109-scalar-Minimum,p3109-block-Minimum,p3109-scaled-Minimum	scalar	see proofs/obligations.tsv	executable on valid internal rational domains	
operation:Maximum	4.11.1	49	definition / behavior family	p3109-omega-extrema-022,p3109-omega-extrema-023,p3109-omega-extrema-024,p3109-omega-extrema-025,p3109-scalar-Maximum,p3109-block-Maximum,p3109-scaled-Maximum	scalar	see proofs/obligations.tsv	executable on valid internal rational domains	
operation:MinimumNumber	4.11.1	49	definition / behavior family	p3109-omega-extrema-005,p3109-omega-extrema-006,p3109-omega-extrema-007,p3109-scalar-MinimumNumber,p3109-block-MinimumNumber,p3109-scaled-MinimumNumber	scalar	see proofs/obligations.tsv	executable on valid internal rational domains	
operation:MaximumNumber	4.11.1	49	definition / behavior family	p3109-omega-extrema-026,p3109-omega-extrema-027,p3109-omega-extrema-028,p3109-scalar-MaximumNumber,p3109-block-MaximumNumber,p3109-scaled-MaximumNumber	scalar	see proofs/obligations.tsv	executable on valid internal rational domains	
operation:MinimumMagnitude	4.11.2	50	definition / behavior family	p3109-omega-extrema-008,p3109-omega-extrema-009,p3109-omega-extrema-010,p3109-omega-extrema-011,p3109-omega-extrema-012,p3109-scalar-MinimumMagnitude,p3109-block-MinimumMagnitude,p3109-scaled-MinimumMagnitude	scalar	see proofs/obligations.tsv	executable on valid internal rational domains	
operation:MaximumMagnitude	4.11.2	50	definition / behavior family	p3109-omega-extrema-029,p3109-omega-extrema-030,p3109-omega-extrema-031,p3109-omega-extrema-032,p3109-omega-extrema-033,p3109-scalar-MaximumMagnitude,p3109-block-MaximumMagnitude,p3109-scaled-MaximumMagnitude	scalar	see proofs/obligations.tsv	executable on valid internal rational domains	
operation:MinimumMagnitudeNumber	4.11.2	50	definition / behavior family	p3109-omega-extrema-013,p3109-omega-extrema-014,p3109-omega-extrema-015,p3109-scalar-MinimumMagnitudeNumber,p3109-block-MinimumMagnitudeNumber,p3109-scaled-MinimumMagnitudeNumber	scalar	see proofs/obligations.tsv	executable on valid internal rational domains	
operation:MaximumMagnitudeNumber	4.11.2	50	definition / behavior family	p3109-omega-extrema-034,p3109-omega-extrema-035,p3109-omega-extrema-036,p3109-scalar-MaximumMagnitudeNumber,p3109-block-MaximumMagnitudeNumber,p3109-scaled-MaximumMagnitudeNumber	scalar	see proofs/obligations.tsv	executable on valid internal rational domains	
operation:MinimumFinite	4.11.3	51	definition / behavior family	p3109-omega-extrema-016,p3109-omega-extrema-017,p3109-omega-extrema-018,p3109-omega-extrema-019,p3109-omega-extrema-020,p3109-omega-extrema-021,p3109-scalar-MinimumFinite,p3109-block-MinimumFinite,p3109-scaled-MinimumFinite	scalar	see proofs/obligations.tsv	executable on valid internal rational domains	
operation:MaximumFinite	4.11.3	51	definition / behavior family	p3109-omega-extrema-037,p3109-omega-extrema-038,p3109-omega-extrema-039,p3109-omega-extrema-040,p3109-omega-extrema-041,p3109-omega-extrema-042,p3109-scalar-MaximumFinite,p3109-block-MaximumFinite,p3109-scaled-MaximumFinite	scalar	see proofs/obligations.tsv	executable on valid internal rational domains	
operation:Clamp	4.11.4	52	definition / behavior family	p3109-omega-extrema-043,p3109-omega-extrema-044,p3109-omega-extrema-045,p3109-omega-extrema-046,p3109-omega-extrema-047,p3109-scalar-Clamp,p3109-block-Clamp,p3109-scaled-Clamp	scalar	see proofs/obligations.tsv	executable on valid internal rational domains	
operation:CompareLess	4.12	53	definition / behavior family	p3109-predicates-001	codec;conformance	see proofs/obligations.tsv	executable on valid internal rational domains	
operation:CompareLessEqual	4.12	53	definition / behavior family	p3109-predicates-002	codec;conformance	see proofs/obligations.tsv	executable on valid internal rational domains	
operation:CompareEqual	4.12	53	definition / behavior family	p3109-predicates-003	codec;conformance	see proofs/obligations.tsv	executable on valid internal rational domains	
operation:CompareGreater	4.12	53	definition / behavior family	p3109-predicates-005	codec;conformance	see proofs/obligations.tsv	executable on valid internal rational domains	
operation:CompareGreaterEqual	4.12	53	definition / behavior family	p3109-predicates-004	codec;conformance	see proofs/obligations.tsv	executable on valid internal rational domains	
operation:TotalOrder	4.12.1	54	definition / behavior family	p3109-order-next-001	order-next	see proofs/obligations.tsv	executable on valid internal rational domains	
operation:IsZero	4.13	56	definition / behavior family	p3109-predicates-006	codec;conformance	see proofs/obligations.tsv	executable on valid internal rational domains	
operation:IsOne	4.13	56	definition / behavior family	p3109-predicates-007	codec;conformance	see proofs/obligations.tsv	executable on valid internal rational domains	
operation:IsNaN	4.13	56	definition / behavior family	p3109-predicates-008	codec;conformance	see proofs/obligations.tsv	executable on valid internal rational domains	
operation:IsInfinite	4.13	56	definition / behavior family	p3109-predicates-009	codec;conformance	see proofs/obligations.tsv	executable on valid internal rational domains	
operation:IsFinite	4.13	56	definition / behavior family	p3109-predicates-010	codec;conformance	see proofs/obligations.tsv	executable on valid internal rational domains	
operation:IsSignMinus	4.13	56	definition / behavior family	p3109-predicates-011	codec;conformance	see proofs/obligations.tsv	executable on valid internal rational domains	
operation:IsNormal	4.13	56	definition / behavior family	p3109-predicates-012,p3109-predicates-013	codec;conformance	see proofs/obligations.tsv	executable on valid internal rational domains	
operation:IsSubnormal	4.13	56	definition / behavior family	p3109-predicates-014	codec;conformance	see proofs/obligations.tsv	executable on valid internal rational domains	
operation:Class	4.13.1	57	definition / behavior family	p3109-predicates-015,p3109-predicates-016,p3109-predicates-017,p3109-predicates-018,p3109-predicates-019	codec;conformance	see proofs/obligations.tsv	executable on valid internal rational domains	
operation:BitwidthOf	4.14	58	definition / behavior family	p3109-format-core-003,p3109-format-core-017,p3109-format-core-025,p3109-format-core-033,p3109-format-core-041	codec;conformance	see proofs/obligations.tsv	executable on valid internal rational domains	
operation:PrecisionOf	4.14	58	definition / behavior family	p3109-format-core-004,p3109-format-core-018,p3109-format-core-026,p3109-format-core-034,p3109-format-core-042	codec;conformance	see proofs/obligations.tsv	executable on valid internal rational domains	
operation:ExponentBitwidthOf	4.14	58	definition / behavior family	p3109-format-core-008	codec;conformance	see proofs/obligations.tsv	executable on valid internal rational domains	
operation:TrailingSignificandBitwidthOf	4.14	58	definition / behavior family	p3109-format-core-009	codec;conformance	see proofs/obligations.tsv	executable on valid internal rational domains	
operation:ExponentBiasOf	4.14	58	definition / behavior family	p3109-format-core-007,p3109-format-core-019,p3109-format-core-027,p3109-format-core-035,p3109-format-core-043	codec;conformance	see proofs/obligations.tsv	executable on valid internal rational domains	
operation:SignednessOf	4.14	58	definition / behavior family	p3109-format-core-005,p3109-format-core-020,p3109-format-core-028,p3109-format-core-036,p3109-format-core-044	codec;conformance	see proofs/obligations.tsv	executable on valid internal rational domains	
operation:DomainOf	4.14	58	definition / behavior family	p3109-format-core-006,p3109-format-core-021,p3109-format-core-029,p3109-format-core-037,p3109-format-core-045	codec;conformance	see proofs/obligations.tsv	executable on valid internal rational domains	
operation:MaxFiniteOf	4.14	58	definition / behavior family	p3109-format-queries-001,p3109-format-queries-006	codec;conformance	see proofs/obligations.tsv	executable on valid internal rational domains	
operation:MinFiniteOf	4.14	58	definition / behavior family	p3109-format-queries-002,p3109-format-queries-007	codec;conformance	see proofs/obligations.tsv	executable on valid internal rational domains	
operation:MinPositiveOf	4.14	58	definition / behavior family	p3109-format-queries-003,p3109-format-queries-008	codec;conformance	see proofs/obligations.tsv	executable on valid internal rational domains	
operation:MaxSubnormalOf	4.14	58	definition / behavior family	p3109-format-queries-004,p3109-format-queries-009	codec;conformance	see proofs/obligations.tsv	executable on valid internal rational domains	
operation:MinNormalOf	4.14	58	definition / behavior family	p3109-format-queries-005,p3109-format-queries-010	codec;conformance	see proofs/obligations.tsv	executable on valid internal rational domains	
operation:RoundOf	4.15	58	definition / behavior family	p3109-projection-spec-029	codec;conformance	see proofs/obligations.tsv	executable on valid internal rational domains	
operation:SatOf	4.15	58	definition / behavior family	p3109-projection-spec-030	codec;conformance	see proofs/obligations.tsv	executable on valid internal rational domains	
operation:NextGreaterThan	4.16	59	definition / behavior family	p3109-order-next-004	order-next	see proofs/obligations.tsv	executable on valid internal rational domains	
operation:NextLessThan	4.16	59	definition / behavior family	p3109-order-next-006	order-next	see proofs/obligations.tsv	executable on valid internal rational domains	
operation:ConvertFromBlock	5.5.1	64	definition / behavior family	p3109-block-ops-011	blocks	see proofs/obligations.tsv	executable on valid internal rational domains	
operation:ConvertToBlock	5.5.2	65	definition / behavior family	p3109-block-ops-012	blocks	see proofs/obligations.tsv	executable on valid internal rational domains	
operation:ConvertToBlockMaxAbsFinite	5.5.3	66	definition / behavior family	p3109-block-ops-013	blocks	see proofs/obligations.tsv	executable on valid internal rational domains	
operation:BlockReduceAdd	5.6.1	67	definition / behavior family	p3109-block-ops-015	blocks	see proofs/obligations.tsv	executable on valid internal rational domains	
operation:BlockReduceMultiply	5.6.1	67	definition / behavior family	p3109-block-ops-016	blocks	see proofs/obligations.tsv	executable on valid internal rational domains	
operation:BlockDotProduct	5.6.2	68	definition / behavior family	p3109-block-ops-017	blocks	see proofs/obligations.tsv	executable on valid internal rational domains	
FMA:row:01	4.10.6	38	1	p3109-omega-arithmetic-037	scalar: exhaustive original-case oracle	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
FMA:row:02	4.10.6	38	2	p3109-omega-arithmetic-037	scalar: exhaustive original-case oracle	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
FMA:row:03	4.10.6	38	3	p3109-omega-arithmetic-037	scalar: exhaustive original-case oracle	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
FMA:row:04	4.10.6	38	4	p3109-omega-arithmetic-037	scalar: exhaustive original-case oracle	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
FMA:row:05	4.10.6	38	5	p3109-omega-arithmetic-037	scalar: exhaustive original-case oracle	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
FMA:row:06	4.10.6	38	6	p3109-omega-arithmetic-037	scalar: exhaustive original-case oracle	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
FMA:row:07	4.10.6	38	7	p3109-omega-arithmetic-037	scalar: exhaustive original-case oracle	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
FMA:row:08	4.10.6	38	8	p3109-omega-arithmetic-037	scalar: exhaustive original-case oracle	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
FMA:row:09	4.10.6	38	9	p3109-omega-arithmetic-037	scalar: exhaustive original-case oracle	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
FMA:row:10	4.10.6	38	10	p3109-omega-arithmetic-037	scalar: exhaustive original-case oracle	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
FMA:row:11	4.10.6	38	11	p3109-omega-arithmetic-037	scalar: exhaustive original-case oracle	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
FMA:row:12	4.10.6	38	12	p3109-omega-arithmetic-037	scalar: exhaustive original-case oracle	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
FMA:row:13	4.10.6	38	13	p3109-omega-arithmetic-037	scalar: exhaustive original-case oracle	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
FMA:row:14	4.10.6	38	14	p3109-omega-arithmetic-037	scalar: exhaustive original-case oracle	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
FMA:row:15	4.10.6	38	15	p3109-omega-arithmetic-037	scalar: exhaustive original-case oracle	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
FMA:row:16	4.10.6	38	16	p3109-omega-arithmetic-037	scalar: exhaustive original-case oracle	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
FMA:row:17	4.10.6	38	17	p3109-omega-arithmetic-037	scalar: exhaustive original-case oracle	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
FMA:row:18	4.10.6	38	18	p3109-omega-arithmetic-037	scalar: exhaustive original-case oracle	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
FMA:row:19	4.10.6	38	19	p3109-omega-arithmetic-037	scalar: exhaustive original-case oracle	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
FMA:row:20	4.10.6	38	20	p3109-omega-arithmetic-037	scalar: exhaustive original-case oracle	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
FMA:row:21	4.10.6	38	21	p3109-omega-arithmetic-037	scalar: exhaustive original-case oracle	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
FMA:row:22	4.10.6	38	22	p3109-omega-arithmetic-037	scalar: exhaustive original-case oracle	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
FMA:row:23	4.10.6	38	23	p3109-omega-arithmetic-037	scalar: exhaustive original-case oracle	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
FMA:row:24	4.10.6	38	24	p3109-omega-arithmetic-037	scalar: exhaustive original-case oracle	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
FMA:row:25	4.10.6	38	25	p3109-omega-arithmetic-037	scalar: exhaustive original-case oracle	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
FMA:row:26	4.10.6	38	26	p3109-omega-arithmetic-037	scalar: exhaustive original-case oracle	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
FMA:row:27	4.10.6	38	27	p3109-omega-arithmetic-037	scalar: exhaustive original-case oracle	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
FMA:row:28	4.10.6	38	28	p3109-omega-arithmetic-037	scalar: exhaustive original-case oracle	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
FMA:row:29	4.10.6	38	29	p3109-omega-arithmetic-037	scalar: exhaustive original-case oracle	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
FMA:row:30	4.10.6	38	30	p3109-omega-arithmetic-037	scalar: exhaustive original-case oracle	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
FMA:row:31	4.10.6	38	31	p3109-omega-arithmetic-037	scalar: exhaustive original-case oracle	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
FMA:row:32	4.10.6	38	32	p3109-omega-arithmetic-037	scalar: exhaustive original-case oracle	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
FAA:row:01	4.10.7	39	1	p3109-omega-arithmetic-038	scalar: exhaustive original-case oracle	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
FAA:row:02	4.10.7	39	2	p3109-omega-arithmetic-038	scalar: exhaustive original-case oracle	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
FAA:row:03	4.10.7	39	3	p3109-omega-arithmetic-038	scalar: exhaustive original-case oracle	see proofs/obligations.tsv	modeled	Composition/refinement argument in coverage.md; finite testing is not a universal proof.
