source_name	profile	parameters	operands	result	target	source_clause	status	public_export	test_reference
BlockAdd	core	B,fs1,f1,fs2,f2,fs,fr,rho	s1,cs1,s2,cs2,s	block	P3109Reference.SpecAPI.BlockAdd	5.7	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	blocks:unit-block-Add-NearestTiesToEven
ScaledAdd	core	fs1,f1,fs2,f2,fr,rho	s1,c1,s2,c2	code	P3109Reference.SpecAPI.ScaledAdd	5.8	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	blocks:unit-scaled-Add-NearestTiesToEven
Subtract	core	fx,fy,fr,rho	x,y	code	P3109Reference.SpecAPI.Subtract	4.10.3	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	scalar:scalar-Subtract-0, 0
BlockSubtract	core	B,fs1,f1,fs2,f2,fs,fr,rho	s1,cs1,s2,cs2,s	block	P3109Reference.SpecAPI.BlockSubtract	5.7	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	blocks:unit-block-Subtract-NearestTiesToEven
ScaledSubtract	core	fs1,f1,fs2,f2,fr,rho	s1,c1,s2,c2	code	P3109Reference.SpecAPI.ScaledSubtract	5.8	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	blocks:unit-scaled-Subtract-NearestTiesToEven
Multiply	core	fx,fy,fr,rho	x,y	code	P3109Reference.SpecAPI.Multiply	4.10.4	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	scalar:scalar-Multiply-0, 0
BlockMultiply	core	B,fs1,f1,fs2,f2,fs,fr,rho	s1,cs1,s2,cs2,s	block	P3109Reference.SpecAPI.BlockMultiply	5.7	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	blocks:unit-block-Multiply-NearestTiesToEven
ScaledMultiply	core	fs1,f1,fs2,f2,fr,rho	s1,c1,s2,c2	code	P3109Reference.SpecAPI.ScaledMultiply	5.8	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	blocks:unit-scaled-Multiply-NearestTiesToEven
Divide	core	fx,fy,fr,rho	x,y	code	P3109Reference.SpecAPI.Divide	4.10.5	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	scalar:scalar-Divide-0, 0
BlockDivide	core	B,fs1,f1,fs2,f2,fs,fr,rho	s1,cs1,s2,cs2,s	block	P3109Reference.SpecAPI.BlockDivide	5.7	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	blocks:unit-block-Divide-NearestTiesToEven
ScaledDivide	core	fs1,f1,fs2,f2,fr,rho	s1,c1,s2,c2	code	P3109Reference.SpecAPI.ScaledDivide	5.8	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	blocks:unit-scaled-Divide-NearestTiesToEven
FMA	core	fx,fy,fz,fr,rho	x,y,z	code	P3109Reference.SpecAPI.FMA	4.10.6	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	scalar:scalar-FMA-0, 0, 0
BlockFMA	core	B,fs1,f1,fs2,f2,fs3,f3,fs,fr,rho	s1,cs1,s2,cs2,s3,cs3,s	block	P3109Reference.SpecAPI.BlockFMA	5.7	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	blocks:unit-block-FMA-NearestTiesToEven
ScaledFMA	core	fs1,f1,fs2,f2,fs3,f3,fr,rho	s1,c1,s2,c2,s3,c3	code	P3109Reference.SpecAPI.ScaledFMA	5.8	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	blocks:unit-scaled-FMA-NearestTiesToEven
FAA	core	fx,fy,fz,fr,rho	x,y,z	code	P3109Reference.SpecAPI.FAA	4.10.7	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	scalar:scalar-FAA-0, 0, 0
BlockFAA	core	B,fs1,f1,fs2,f2,fs3,f3,fs,fr,rho	s1,cs1,s2,cs2,s3,cs3,s	block	P3109Reference.SpecAPI.BlockFAA	5.7	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	blocks:unit-block-FAA-NearestTiesToEven
ScaledFAA	core	fs1,f1,fs2,f2,fs3,f3,fr,rho	s1,c1,s2,c2,s3,c3	code	P3109Reference.SpecAPI.ScaledFAA	5.8	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	blocks:unit-scaled-FAA-NearestTiesToEven
Sqrt	symbolic	fx,fr,rho	x	code	P3109Reference.SpecAPI.Sqrt	4.10.8	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-scaled-Sqrt-NearestTiesToEven
BlockSqrt	symbolic	B,fs1,f1,fs,fr,rho	s1,cs1,s	block	P3109Reference.SpecAPI.BlockSqrt	5.7	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-block-Sqrt-NearestTiesToEven
ScaledSqrt	symbolic	fs1,f1,fr,rho	s1,c1	code	P3109Reference.SpecAPI.ScaledSqrt	5.8	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-scaled-Sqrt-NearestTiesToEven
Recip	core	fx,fr,rho	x	code	P3109Reference.SpecAPI.Recip	4.10.8	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	scalar:scalar-Recip-0
BlockRecip	core	B,fs1,f1,fs,fr,rho	s1,cs1,s	block	P3109Reference.SpecAPI.BlockRecip	5.7	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	blocks:unit-block-Recip-NearestTiesToEven
ScaledRecip	core	fs1,f1,fr,rho	s1,c1	code	P3109Reference.SpecAPI.ScaledRecip	5.8	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	blocks:unit-scaled-Recip-NearestTiesToEven
RSqrt	symbolic	fx,fr,rho	x	code	P3109Reference.SpecAPI.RSqrt	4.10.8	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-scaled-RSqrt-NearestTiesToEven
BlockRSqrt	symbolic	B,fs1,f1,fs,fr,rho	s1,cs1,s	block	P3109Reference.SpecAPI.BlockRSqrt	5.7	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-block-RSqrt-NearestTiesToEven
ScaledRSqrt	symbolic	fs1,f1,fr,rho	s1,c1	code	P3109Reference.SpecAPI.ScaledRSqrt	5.8	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-scaled-RSqrt-NearestTiesToEven
Exp	symbolic	fx,fr,rho	x	code	P3109Reference.SpecAPI.Exp	4.10.9	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-scaled-Exp-NearestTiesToEven
BlockExp	symbolic	B,fs1,f1,fs,fr,rho	s1,cs1,s	block	P3109Reference.SpecAPI.BlockExp	5.7	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-block-Exp-NearestTiesToEven
ScaledExp	symbolic	fs1,f1,fr,rho	s1,c1	code	P3109Reference.SpecAPI.ScaledExp	5.8	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-scaled-Exp-NearestTiesToEven
Exp2	symbolic	fx,fr,rho	x	code	P3109Reference.SpecAPI.Exp2	4.10.9	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-scaled-Exp2-NearestTiesToEven
BlockExp2	symbolic	B,fs1,f1,fs,fr,rho	s1,cs1,s	block	P3109Reference.SpecAPI.BlockExp2	5.7	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-block-Exp2-NearestTiesToEven
ScaledExp2	symbolic	fs1,f1,fr,rho	s1,c1	code	P3109Reference.SpecAPI.ScaledExp2	5.8	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-scaled-Exp2-NearestTiesToEven
Log	symbolic	fx,fr,rho	x	code	P3109Reference.SpecAPI.Log	4.10.9	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-scaled-Log-NearestTiesToEven
BlockLog	symbolic	B,fs1,f1,fs,fr,rho	s1,cs1,s	block	P3109Reference.SpecAPI.BlockLog	5.7	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-block-Log-NearestTiesToEven
ScaledLog	symbolic	fs1,f1,fr,rho	s1,c1	code	P3109Reference.SpecAPI.ScaledLog	5.8	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-scaled-Log-NearestTiesToEven
Log2	symbolic	fx,fr,rho	x	code	P3109Reference.SpecAPI.Log2	4.10.9	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-scaled-Log2-NearestTiesToEven
BlockLog2	symbolic	B,fs1,f1,fs,fr,rho	s1,cs1,s	block	P3109Reference.SpecAPI.BlockLog2	5.7	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-block-Log2-NearestTiesToEven
ScaledLog2	symbolic	fs1,f1,fr,rho	s1,c1	code	P3109Reference.SpecAPI.ScaledLog2	5.8	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-scaled-Log2-NearestTiesToEven
LogOnePlus	symbolic	fx,fr,rho	x	code	P3109Reference.SpecAPI.LogOnePlus	4.10.9	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-scaled-LogOnePlus-NearestTiesToEven
BlockLogOnePlus	symbolic	B,fs1,f1,fs,fr,rho	s1,cs1,s	block	P3109Reference.SpecAPI.BlockLogOnePlus	5.7	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-block-LogOnePlus-NearestTiesToEven
ScaledLogOnePlus	symbolic	fs1,f1,fr,rho	s1,c1	code	P3109Reference.SpecAPI.ScaledLogOnePlus	5.8	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-scaled-LogOnePlus-NearestTiesToEven
ExpMinusOne	symbolic	fx,fr,rho	x	code	P3109Reference.SpecAPI.ExpMinusOne	4.10.9	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-scaled-ExpMinusOne-NearestTiesToEven
BlockExpMinusOne	symbolic	B,fs1,f1,fs,fr,rho	s1,cs1,s	block	P3109Reference.SpecAPI.BlockExpMinusOne	5.7	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-block-ExpMinusOne-NearestTiesToEven
ScaledExpMinusOne	symbolic	fs1,f1,fr,rho	s1,c1	code	P3109Reference.SpecAPI.ScaledExpMinusOne	5.8	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-scaled-ExpMinusOne-NearestTiesToEven
Sin	symbolic	fx,fr,rho	x	code	P3109Reference.SpecAPI.Sin	4.10.10	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-scaled-Sin-NearestTiesToEven
BlockSin	symbolic	B,fs1,f1,fs,fr,rho	s1,cs1,s	block	P3109Reference.SpecAPI.BlockSin	5.7	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-block-Sin-NearestTiesToEven
ScaledSin	symbolic	fs1,f1,fr,rho	s1,c1	code	P3109Reference.SpecAPI.ScaledSin	5.8	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-scaled-Sin-NearestTiesToEven
Cos	symbolic	fx,fr,rho	x	code	P3109Reference.SpecAPI.Cos	4.10.10	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-scaled-Cos-NearestTiesToEven
BlockCos	symbolic	B,fs1,f1,fs,fr,rho	s1,cs1,s	block	P3109Reference.SpecAPI.BlockCos	5.7	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-block-Cos-NearestTiesToEven
ScaledCos	symbolic	fs1,f1,fr,rho	s1,c1	code	P3109Reference.SpecAPI.ScaledCos	5.8	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-scaled-Cos-NearestTiesToEven
Tan	symbolic	fx,fr,rho	x	code	P3109Reference.SpecAPI.Tan	4.10.10	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-scaled-Tan-NearestTiesToEven
BlockTan	symbolic	B,fs1,f1,fs,fr,rho	s1,cs1,s	block	P3109Reference.SpecAPI.BlockTan	5.7	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-block-Tan-NearestTiesToEven
ScaledTan	symbolic	fs1,f1,fr,rho	s1,c1	code	P3109Reference.SpecAPI.ScaledTan	5.8	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-scaled-Tan-NearestTiesToEven
ArcSin	symbolic	fx,fr,rho	x	code	P3109Reference.SpecAPI.ArcSin	4.10.10	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-scaled-ArcSin-NearestTiesToEven
BlockArcSin	symbolic	B,fs1,f1,fs,fr,rho	s1,cs1,s	block	P3109Reference.SpecAPI.BlockArcSin	5.7	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-block-ArcSin-NearestTiesToEven
ScaledArcSin	symbolic	fs1,f1,fr,rho	s1,c1	code	P3109Reference.SpecAPI.ScaledArcSin	5.8	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-scaled-ArcSin-NearestTiesToEven
ArcCos	symbolic	fx,fr,rho	x	code	P3109Reference.SpecAPI.ArcCos	4.10.10	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-scaled-ArcCos-NearestTiesToEven
BlockArcCos	symbolic	B,fs1,f1,fs,fr,rho	s1,cs1,s	block	P3109Reference.SpecAPI.BlockArcCos	5.7	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-block-ArcCos-NearestTiesToEven
ScaledArcCos	symbolic	fs1,f1,fr,rho	s1,c1	code	P3109Reference.SpecAPI.ScaledArcCos	5.8	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-scaled-ArcCos-NearestTiesToEven
ArcTan	symbolic	fx,fr,rho	x	code	P3109Reference.SpecAPI.ArcTan	4.10.10	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-scaled-ArcTan-NearestTiesToEven
BlockArcTan	symbolic	B,fs1,f1,fs,fr,rho	s1,cs1,s	block	P3109Reference.SpecAPI.BlockArcTan	5.7	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-block-ArcTan-NearestTiesToEven
ScaledArcTan	symbolic	fs1,f1,fr,rho	s1,c1	code	P3109Reference.SpecAPI.ScaledArcTan	5.8	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-scaled-ArcTan-NearestTiesToEven
Sinh	symbolic	fx,fr,rho	x	code	P3109Reference.SpecAPI.Sinh	4.10.11	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-scaled-Sinh-NearestTiesToEven
BlockSinh	symbolic	B,fs1,f1,fs,fr,rho	s1,cs1,s	block	P3109Reference.SpecAPI.BlockSinh	5.7	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-block-Sinh-NearestTiesToEven
ScaledSinh	symbolic	fs1,f1,fr,rho	s1,c1	code	P3109Reference.SpecAPI.ScaledSinh	5.8	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-scaled-Sinh-NearestTiesToEven
Cosh	symbolic	fx,fr,rho	x	code	P3109Reference.SpecAPI.Cosh	4.10.11	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-scaled-Cosh-NearestTiesToEven
BlockCosh	symbolic	B,fs1,f1,fs,fr,rho	s1,cs1,s	block	P3109Reference.SpecAPI.BlockCosh	5.7	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-block-Cosh-NearestTiesToEven
ScaledCosh	symbolic	fs1,f1,fr,rho	s1,c1	code	P3109Reference.SpecAPI.ScaledCosh	5.8	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-scaled-Cosh-NearestTiesToEven
Tanh	symbolic	fx,fr,rho	x	code	P3109Reference.SpecAPI.Tanh	4.10.11	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-scaled-Tanh-NearestTiesToEven
BlockTanh	symbolic	B,fs1,f1,fs,fr,rho	s1,cs1,s	block	P3109Reference.SpecAPI.BlockTanh	5.7	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-block-Tanh-NearestTiesToEven
ScaledTanh	symbolic	fs1,f1,fr,rho	s1,c1	code	P3109Reference.SpecAPI.ScaledTanh	5.8	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-scaled-Tanh-NearestTiesToEven
ArcSinh	symbolic	fx,fr,rho	x	code	P3109Reference.SpecAPI.ArcSinh	4.10.11	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-scaled-ArcSinh-NearestTiesToEven
BlockArcSinh	symbolic	B,fs1,f1,fs,fr,rho	s1,cs1,s	block	P3109Reference.SpecAPI.BlockArcSinh	5.7	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-block-ArcSinh-NearestTiesToEven
ScaledArcSinh	symbolic	fs1,f1,fr,rho	s1,c1	code	P3109Reference.SpecAPI.ScaledArcSinh	5.8	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-scaled-ArcSinh-NearestTiesToEven
ArcCosh	symbolic	fx,fr,rho	x	code	P3109Reference.SpecAPI.ArcCosh	4.10.11	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-scaled-ArcCosh-NearestTiesToEven
BlockArcCosh	symbolic	B,fs1,f1,fs,fr,rho	s1,cs1,s	block	P3109Reference.SpecAPI.BlockArcCosh	5.7	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-block-ArcCosh-NearestTiesToEven
ScaledArcCosh	symbolic	fs1,f1,fr,rho	s1,c1	code	P3109Reference.SpecAPI.ScaledArcCosh	5.8	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-scaled-ArcCosh-NearestTiesToEven
ArcTanh	symbolic	fx,fr,rho	x	code	P3109Reference.SpecAPI.ArcTanh	4.10.11	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-scaled-ArcTanh-NearestTiesToEven
BlockArcTanh	symbolic	B,fs1,f1,fs,fr,rho	s1,cs1,s	block	P3109Reference.SpecAPI.BlockArcTanh	5.7	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-block-ArcTanh-NearestTiesToEven
ScaledArcTanh	symbolic	fs1,f1,fr,rho	s1,c1	code	P3109Reference.SpecAPI.ScaledArcTanh	5.8	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-scaled-ArcTanh-NearestTiesToEven
SinPi	symbolic	fx,fr,rho	x	code	P3109Reference.SpecAPI.SinPi	4.10.12	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-scaled-SinPi-NearestTiesToEven
BlockSinPi	symbolic	B,fs1,f1,fs,fr,rho	s1,cs1,s	block	P3109Reference.SpecAPI.BlockSinPi	5.7	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-block-SinPi-NearestTiesToEven
ScaledSinPi	symbolic	fs1,f1,fr,rho	s1,c1	code	P3109Reference.SpecAPI.ScaledSinPi	5.8	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-scaled-SinPi-NearestTiesToEven
CosPi	symbolic	fx,fr,rho	x	code	P3109Reference.SpecAPI.CosPi	4.10.12	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-scaled-CosPi-NearestTiesToEven
BlockCosPi	symbolic	B,fs1,f1,fs,fr,rho	s1,cs1,s	block	P3109Reference.SpecAPI.BlockCosPi	5.7	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-block-CosPi-NearestTiesToEven
ScaledCosPi	symbolic	fs1,f1,fr,rho	s1,c1	code	P3109Reference.SpecAPI.ScaledCosPi	5.8	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-scaled-CosPi-NearestTiesToEven
TanPi	symbolic	fx,fr,rho	x	code	P3109Reference.SpecAPI.TanPi	4.10.12	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-scaled-TanPi-NearestTiesToEven
BlockTanPi	symbolic	B,fs1,f1,fs,fr,rho	s1,cs1,s	block	P3109Reference.SpecAPI.BlockTanPi	5.7	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-block-TanPi-NearestTiesToEven
ScaledTanPi	symbolic	fs1,f1,fr,rho	s1,c1	code	P3109Reference.SpecAPI.ScaledTanPi	5.8	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-scaled-TanPi-NearestTiesToEven
ArcSinPi	symbolic	fx,fr,rho	x	code	P3109Reference.SpecAPI.ArcSinPi	4.10.12	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-scaled-ArcSinPi-NearestTiesToEven
BlockArcSinPi	symbolic	B,fs1,f1,fs,fr,rho	s1,cs1,s	block	P3109Reference.SpecAPI.BlockArcSinPi	5.7	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-block-ArcSinPi-NearestTiesToEven
ScaledArcSinPi	symbolic	fs1,f1,fr,rho	s1,c1	code	P3109Reference.SpecAPI.ScaledArcSinPi	5.8	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-scaled-ArcSinPi-NearestTiesToEven
ArcCosPi	symbolic	fx,fr,rho	x	code	P3109Reference.SpecAPI.ArcCosPi	4.10.12	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-scaled-ArcCosPi-NearestTiesToEven
BlockArcCosPi	symbolic	B,fs1,f1,fs,fr,rho	s1,cs1,s	block	P3109Reference.SpecAPI.BlockArcCosPi	5.7	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-block-ArcCosPi-NearestTiesToEven
ScaledArcCosPi	symbolic	fs1,f1,fr,rho	s1,c1	code	P3109Reference.SpecAPI.ScaledArcCosPi	5.8	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-scaled-ArcCosPi-NearestTiesToEven
ArcTanPi	symbolic	fx,fr,rho	x	code	P3109Reference.SpecAPI.ArcTanPi	4.10.12	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-scaled-ArcTanPi-NearestTiesToEven
BlockArcTanPi	symbolic	B,fs1,f1,fs,fr,rho	s1,cs1,s	block	P3109Reference.SpecAPI.BlockArcTanPi	5.7	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-block-ArcTanPi-NearestTiesToEven
ScaledArcTanPi	symbolic	fs1,f1,fr,rho	s1,c1	code	P3109Reference.SpecAPI.ScaledArcTanPi	5.8	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-scaled-ArcTanPi-NearestTiesToEven
Softplus	symbolic	fx,fr,rho	x	code	P3109Reference.SpecAPI.Softplus	4.10.13	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-scaled-Softplus-NearestTiesToEven
BlockSoftplus	symbolic	B,fs1,f1,fs,fr,rho	s1,cs1,s	block	P3109Reference.SpecAPI.BlockSoftplus	5.7	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-block-Softplus-NearestTiesToEven
ScaledSoftplus	symbolic	fs1,f1,fr,rho	s1,c1	code	P3109Reference.SpecAPI.ScaledSoftplus	5.8	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-scaled-Softplus-NearestTiesToEven
Hypot	symbolic	fx,fy,fr,rho	x,y	code	P3109Reference.SpecAPI.Hypot	4.10.14	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-scaled-Hypot-NearestTiesToEven
BlockHypot	symbolic	B,fs1,f1,fs2,f2,fs,fr,rho	s1,cs1,s2,cs2,s	block	P3109Reference.SpecAPI.BlockHypot	5.7	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-block-Hypot-NearestTiesToEven
ScaledHypot	symbolic	fs1,f1,fs2,f2,fr,rho	s1,c1,s2,c2	code	P3109Reference.SpecAPI.ScaledHypot	5.8	implemented; verified in finite recorded scope	public in SpecAPI; accessed by qualification	symbolic:unit-scaled-Hypot-NearestTiesToEven
