    id	module	property	assumptions	method	backend	session	status	conclusion
P3109-ORDER-NEXT-crc-scc	P3109-ORDER-NEXT	direct automated confluence/completeness	RAT/INT/BOOL built-ins; some partial or symbolic operations	static dependency screen	manual / Core Maude 3.5.1		unsupported	Not submitted to SCC. Constructor smoke does not prove this module.
P3109-ORDER-NEXT-valid-domain	P3109-ORDER-NEXT	termination; sort decrease; valid-domain sufficient completeness	valid formats/codes/projections; rational core or stated symbolic cases	tests plus structural arguments	manual / Core Maude 3.5.1		pending	Finite test evidence is recorded; no universal mechanical proof claimed.
P3109-BLOCK-crc-scc	P3109-BLOCK	direct automated confluence/completeness	RAT/INT/BOOL built-ins; some partial or symbolic operations	static dependency screen	manual / Core Maude 3.5.1		unsupported	Not submitted to SCC. Constructor smoke does not prove this module.
P3109-BLOCK-valid-domain	P3109-BLOCK	termination; sort decrease; valid-domain sufficient completeness	valid formats/codes/projections; rational core or stated symbolic cases	tests plus structural arguments	manual / Core Maude 3.5.1		pending	Finite test evidence is recorded; no universal mechanical proof claimed.
P3109-CONFORMANCE-crc-scc	P3109-CONFORMANCE	direct automated confluence/completeness	RAT/INT/BOOL built-ins; some partial or symbolic operations	static dependency screen	manual / Core Maude 3.5.1		unsupported	Not submitted to SCC. Constructor smoke does not prove this module.
P3109-CONFORMANCE-valid-domain	P3109-CONFORMANCE	termination; sort decrease; valid-domain sufficient completeness	valid formats/codes/projections; rational core or stated symbolic cases	tests plus structural arguments	manual / Core Maude 3.5.1		pending	Finite test evidence is recorded; no universal mechanical proof claimed.
P3109-OMEGA-ELEMENTARY-crc-scc	P3109-OMEGA-ELEMENTARY	direct automated confluence/completeness	RAT/INT/BOOL built-ins; some partial or symbolic operations	static dependency screen	manual / Core Maude 3.5.1		unsupported	Not submitted to SCC. Constructor smoke does not prove this module.
P3109-OMEGA-ELEMENTARY-valid-domain	P3109-OMEGA-ELEMENTARY	termination; sort decrease; valid-domain sufficient completeness	valid formats/codes/projections; rational core or stated symbolic cases	tests plus structural arguments	manual / Core Maude 3.5.1		pending	Finite test evidence is recorded; no universal mechanical proof claimed.
saturation-refinement	P3109-SATURATE	21-row first-match equivalence and slice refinement	Rat bounds L<=H; valid mode; exact finite location trichotomy	case argument in coverage.md	manual / Core Maude 3.5.1		pending	Slice is proved; embedding of builtin comparisons and all production guards remains a manual proof obligation.
codec-inverse	P3109-CODEC	decoder-image domain and bijection	K>2 and valid precision	table enumeration and algebraic argument	manual / Core Maude 3.5.1		pending	All 14 four-bit formats and F8/Fs tested; arbitrary widths not proved.
fma-faa-original	P3109-OMEGA-ARITHMETIC	equivalence to original ordered rows	rational finite values or exceptional constructors	independent exhaustive 16^3 case comparison	manual / Core Maude 3.5.1		pending	Original first-match oracle passes; universal proof not mechanically discharged.
next-adjacency	P3109-ORDER-NEXT	immediate successor/predecessor	internal formats	independent decoded and sorted list	manual / Core Maude 3.5.1		pending	Exhaustive F4 and F8; arbitrary formats still require proof.
imports-views	all	validity of including/protecting and container views	built-in preservation and intended RAT embedding	audit in coverage.md	manual / Core Maude 3.5.1		pending	No real/external implementation view supplied.
symbolic-interpretation	P3109-REAL-EXPRESSIONS	sound interpretation and real comparisons	standard mathematical reals and pi	contracts/real.maude plus reviewed identities	manual / Core Maude 3.5.1		pending	No syntactic inequality used as mathematical inequality.
external-backend	P3109-EXTERNAL-BRIDGE	canonicalization; quiet NaN; datums; finite counting; bounds	additional authorized external format source and backend view	contracts/external-format.maude	manual / Core Maude 3.5.1		pending	No external finite codec implemented.
required-sets	P3109-CONFORMANCE	membership of all independently enumerated required identities	all seven nonempty FX subsets	independent Cartesian-product fixtures	manual / Core Maude 3.5.1		proved	Finite data predicate tested against all 2901 required identities plus negative fixtures; not an implementation conformance claim.
kappa-coverage	P3109-CONFORMANCE	whole-input kappa and partition coverage	adapter supplies all valid inputs or a proof	batchKappa and partition only check supplied finite data	manual / Core Maude 3.5.1		pending	Evidence tags are assertions by an adapter; sampled maxima are not whole-domain kappa.
optional-enclosures	optional evaluator	certified projection of irrational values	containment AND constant projection region for fixed format/mode/randoms	negative equal-endpoint test	manual / Core Maude 3.5.1		pending	Optional evaluator intentionally omitted.
