source_id	claim	scope	source_status	julia_evidence	remaining_obligation	disposition
P3109-BLOCK-valid-domain	termination; sort decrease; valid-domain sufficient completeness	valid formats/codes/projections; rational core or stated symbolic cases	pending	finite corpus and interface checks; see runs/julia-cases.json	source conclusion retained: Finite test evidence is recorded; no universal mechanical proof claimed.	retained; no new universal proof
P3109-CONFORMANCE-crc-scc	direct automated confluence/completeness	RAT/INT/BOOL built-ins; some partial or symbolic operations	unsupported	finite corpus and interface checks; see runs/julia-cases.json	source conclusion retained: Not submitted to SCC. Constructor smoke does not prove this module.	retained; no new universal proof
P3109-CONFORMANCE-valid-domain	termination; sort decrease; valid-domain sufficient completeness	valid formats/codes/projections; rational core or stated symbolic cases	pending	finite corpus and interface checks; see runs/julia-cases.json	source conclusion retained: Finite test evidence is recorded; no universal mechanical proof claimed.	retained; no new universal proof
P3109-OMEGA-ELEMENTARY-crc-scc	direct automated confluence/completeness	RAT/INT/BOOL built-ins; some partial or symbolic operations	unsupported	finite corpus and interface checks; see runs/julia-cases.json	source conclusion retained: Not submitted to SCC. Constructor smoke does not prove this module.	retained; no new universal proof
P3109-OMEGA-ELEMENTARY-valid-domain	termination; sort decrease; valid-domain sufficient completeness	valid formats/codes/projections; rational core or stated symbolic cases	pending	finite corpus and interface checks; see runs/julia-cases.json	source conclusion retained: Finite test evidence is recorded; no universal mechanical proof claimed.	retained; no new universal proof
saturation-refinement	21-row first-match equivalence and slice refinement	Rat bounds L<=H; valid mode; exact finite location trichotomy	pending	finite corpus and interface checks; see runs/julia-cases.json	source conclusion retained: Slice is proved; embedding of builtin comparisons and all production guards remains a manual proof obligation.	retained; no new universal proof
codec-inverse	decoder-image domain and bijection	K>2 and valid precision	pending	finite corpus and interface checks; see runs/julia-cases.json	source conclusion retained: All 14 four-bit formats and F8/Fs tested; arbitrary widths not proved.	retained; no new universal proof
fma-faa-original	equivalence to original ordered rows	rational finite values or exceptional constructors	pending	finite corpus and interface checks; see runs/julia-cases.json	source conclusion retained: Original first-match oracle passes; universal proof not mechanically discharged.	retained; no new universal proof
next-adjacency	immediate successor/predecessor	internal formats	pending	finite corpus and interface checks; see runs/julia-cases.json	source conclusion retained: Exhaustive F4 and F8; arbitrary formats still require proof.	retained; no new universal proof
imports-views	validity of including/protecting and container views	built-in preservation and intended RAT embedding	pending	finite corpus and interface checks; see runs/julia-cases.json	source conclusion retained: No real/external implementation view supplied.	retained; no new universal proof
symbolic-interpretation	sound interpretation and real comparisons	standard mathematical reals and pi	pending	finite corpus and interface checks; see runs/julia-cases.json	source conclusion retained: No syntactic inequality used as mathematical inequality.	retained; no new universal proof
external-backend	canonicalization; quiet NaN; datums; finite counting; bounds	additional authorized external format source and backend view	pending	finite corpus and interface checks; see runs/julia-cases.json	source conclusion retained: No external finite codec implemented.	retained; no new universal proof
required-sets	membership of all independently enumerated required identities	all seven nonempty FX subsets	proved	finite corpus and interface checks; see runs/julia-cases.json	source conclusion retained: Finite data predicate tested against all 2901 required identities plus negative fixtures; not an implementation conformance claim.	retained; no new universal proof
kappa-coverage	whole-input kappa and partition coverage	adapter supplies all valid inputs or a proof	pending	finite corpus and interface checks; see runs/julia-cases.json	source conclusion retained: Evidence tags are assertions by an adapter; sampled maxima are not whole-domain kappa.	retained; no new universal proof
optional-enclosures	certified projection of irrational values	containment AND constant projection region for fixed format/mode/randoms	pending	finite corpus and interface checks; see runs/julia-cases.json	source conclusion retained: Optional evaluator intentionally omitted.	retained; no new universal proof
stable-julia-1.13	Repeat validation on stable Julia 1.13	release/toolchain evidence	not established	not claimed	rerun with available appropriate toolchain	open
lean-full-build	Complete the source Lean library build	release/toolchain evidence	not established	not claimed	rerun with available appropriate toolchain	open
